season,episode,number_line,timecode_in,timecode_out,text
1,15,1,00:00:52:20,00:00:55:18,"Master. It is me, Yeom."
1,15,2,00:00:55:20,00:00:58:23,"You have been meditating
for 100 days as of yesterday."
1,15,3,00:00:59:00,00:01:00:07,It is time that you go outside.
1,15,4,00:01:05:24,00:01:07:02,Master.
1,15,5,00:01:12:17,00:01:13:23,Master.
1,15,6,00:01:17:17,00:01:18:18,Master…
1,15,7,00:01:19:21,00:01:20:19,Master.
1,15,8,00:01:22:23,00:01:23:21,Master!
1,15,9,00:01:24:17,00:01:25:19,Master…
1,15,10,00:01:27:16,00:01:28:14,Master!
1,15,11,00:01:34:13,00:01:37:14,"-Oh, dear. Poor boy.
-Poor thing."
1,15,12,00:01:37:15,00:01:40:02,"-Goodness gracious.
-Unbelievable."
1,15,13,00:01:40:04,00:01:42:20,"-He must have frozen to death.
-It seems like it."
1,15,14,00:01:42:22,00:01:45:16,"-I feel so sorry for him.
-Poor child."
1,15,15,00:01:45:18,00:01:46:23,"-Oh, gosh.
-My goodness."
1,15,16,00:01:47:00,00:01:48:17,What is going on? What is it?
1,15,17,00:01:48:19,00:01:50:23,"Oh, dear! The homeless boy has died."
1,15,18,00:01:51:00,00:01:53:15,"He was just a young boy.
I feel so bad for him."
1,15,19,00:01:53:17,00:01:56:18,"My goodness, that poor thing."
1,15,20,00:02:18:12,00:02:21:02,"Master, as you have always wished,"
1,15,21,00:02:22:08,00:02:25:08,I will give you a quiet farewell.
1,15,22,00:02:32:20,00:02:34:24,"Goodness, I feel so bad for him."
1,15,23,00:02:35:17,00:02:37:18,He seems like an orphan.
1,15,24,00:02:37:20,00:02:39:08,Let us hold a funeral for him.
1,15,25,00:02:39:10,00:02:40:14,"-Yes.
-Let us do that."
1,15,26,00:02:40:16,00:02:41:17,Should we cremate him
1,15,27,00:02:41:19,00:02:43:23,"and sprinkle the ashes
by Lake Gyeongcheondaeho?"
1,15,28,00:02:44:00,00:02:45:10,"-Oh, my goodness!
-My gosh!"
1,15,29,00:02:45:12,00:02:46:23,Child…
1,15,30,00:02:47:01,00:02:48:00,Are you all right?
1,15,31,00:02:50:15,00:02:52:12,"-What in the world…
-How…"
1,15,32,00:02:52:14,00:02:55:15,"-Where is he going?
-Where are you going?"
1,15,33,00:03:03:21,00:03:05:08,Stop!
1,15,34,00:03:16:17,00:03:17:19,Child.
